penalty,mixture,.metric,.estimator,mean,n,std_err,.config,model,features,mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size
1e-10,0.5371794871794872,mae,standard,0.2511912094559581,5,0.0019386091458539311,Preprocessor1_Model21,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
1e-10,0.5371794871794872,rmse,standard,0.30680664689071946,5,0.0032322043928350317,Preprocessor1_Model21,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
7.896522868499717e-5,0.5615384615384615,mae,standard,0.2512095137554093,5,0.0019422370812988362,Preprocessor1_Model22,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
7.896522868499717e-5,0.5615384615384615,rmse,standard,0.3068441611821292,5,0.0032347301959765075,Preprocessor1_Model22,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
0.004923882631706731,0.5858974358974359,mae,standard,0.24977699436699538,5,0.002378946208403758,Preprocessor1_Model23,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
0.004923882631706731,0.5858974358974359,rmse,standard,0.30470793508820765,5,0.003732014004093934,Preprocessor1_Model23,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
3.4551072945922183e-9,0.6102564102564103,mae,standard,0.25125175014570156,5,0.0019460401256696995,Preprocessor1_Model24,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
3.4551072945922183e-9,0.6102564102564103,rmse,standard,0.30691711302400093,5,0.003236942690456402,Preprocessor1_Model24,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
0.17012542798525856,0.6346153846153847,mae,standard,0.24875161772985516,5,0.0026884976725569496,Preprocessor1_Model25,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
0.17012542798525856,0.6346153846153847,rmse,standard,0.29709990934438,5,0.0036144066514051188,Preprocessor1_Model25,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
1.1937766417144357e-7,0.6589743589743591,mae,standard,0.2512929204818042,5,0.0019524545958848256,Preprocessor1_Model26,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
1.1937766417144357e-7,0.6589743589743591,rmse,standard,0.3069846428250368,5,0.0032409848476786444,Preprocessor1_Model26,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
7.443803013251681e-6,0.6833333333333333,mae,standard,0.2513147544881827,5,0.0019530544187688693,Preprocessor1_Model27,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
7.443803013251681e-6,0.6833333333333333,rmse,standard,0.30701953345455885,5,0.0032412673690278377,Preprocessor1_Model27,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
4.6415888336127724e-4,0.7076923076923077,mae,standard,0.2513143672569839,5,0.0019741563689285166,Preprocessor1_Model28,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
4.6415888336127724e-4,0.7076923076923077,rmse,standard,0.3070261962996512,5,0.0032582567083145526,Preprocessor1_Model28,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
1.8047217668271666e-10,0.7320512820512821,mae,standard,0.2513467359240378,5,0.001953494005174108,Preprocessor1_Model29,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
1.8047217668271666e-10,0.7320512820512821,rmse,standard,0.30707157123665824,5,0.003240650617835475,Preprocessor1_Model29,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
0.016037187437513277,0.7564102564102565,mae,standard,0.247481748229517,5,0.0028446832859300142,Preprocessor1_Model30,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
0.016037187437513277,0.7564102564102565,rmse,standard,0.2975413680890418,5,0.0039973933334427475,Preprocessor1_Model30,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
6.235507341273925e-9,0.7807692307692308,mae,standard,0.2513804437769192,5,0.0019556804766655066,Preprocessor1_Model31,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
6.235507341273925e-9,0.7807692307692308,rmse,standard,0.30712096043906095,5,0.0032424330722800416,Preprocessor1_Model31,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
0.5541020330009481,0.8051282051282052,mae,standard,0.24875161772985516,5,0.0026884976725569496,Preprocessor1_Model32,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
0.5541020330009481,0.8051282051282052,rmse,standard,0.29709990934438,5,0.0036144066514051188,Preprocessor1_Model32,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
3.8881551803080855e-7,0.8294871794871795,mae,standard,0.25141292217659506,5,0.001958750009402774,Preprocessor1_Model33,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
3.8881551803080855e-7,0.8294871794871795,rmse,standard,0.3071697576126882,5,0.0032457935217443767,Preprocessor1_Model33,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
2.424462017082326e-5,0.8538461538461539,mae,standard,0.2514254830635385,5,0.001960028570845426,Preprocessor1_Model34,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
2.424462017082326e-5,0.8538461538461539,rmse,standard,0.307189971394342,5,0.003247251128102286,Preprocessor1_Model34,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
0.00151177507061566,0.8782051282051283,mae,standard,0.25104831706049396,5,0.002197153381326022,Preprocessor1_Model35,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
0.00151177507061566,0.8782051282051283,rmse,standard,0.30658259225172435,5,0.003503046098163613,Preprocessor1_Model35,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
5.878016072274924e-10,0.9025641025641026,mae,standard,0.25145077336930993,5,0.0019625558792962113,Preprocessor1_Model36,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
5.878016072274924e-10,0.9025641025641026,rmse,standard,0.3072293598533408,5,0.0032481234679138326,Preprocessor1_Model36,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
0.05223345074266832,0.926923076923077,mae,standard,0.24875161772985516,5,0.0026884976725569496,Preprocessor1_Model37,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
