country,iso,year,gdp,population,area,higher_ed_pct
Djibouti,DJI,2017,2762581334.22612,1054841.0,23180.0,7.0643367767334
Dominica,DMA,2021,562911111.111111,67202.0,750.0,6.83760023117065
Dominica,DMA,2001,377462962.962963,68288.0,750.0,5.03000020980835
Denmark,DNK,2022,401945576107.963,5903037.0,40000.0,32.7245712280273
Denmark,DNK,2021,408378204639.999,5856733.0,40000.0,32.452018737793
Denmark,DNK,2020,355631021931.621,5831404.0,40000.0,33.0900001525879
Denmark,DNK,2019,345401473012.615,5814422.0,40000.0,31.120885848999
Denmark,DNK,2018,355293374912.393,5793636.0,40000.0,32.3600006103516
Denmark,DNK,2017,331610593961.988,5764980.0,40000.0,29.7281112670898
Denmark,DNK,2016,312181849372.233,5728010.0,40000.0,30.9799995422363
Denmark,DNK,2015,301758922337.637,5683483.0,40000.0,30.3799991607666
Denmark,DNK,2014,352832602064.452,5643475.0,40000.0,28.9799995422363
Denmark,DNK,2013,344631016965.12,5614932.0,40000.0,0.678235471248627
Denmark,DNK,2012,326792574244.963,5591572.0,40000.0,0.601769864559174
Denmark,DNK,2011,344315595263.175,5570572.0,40000.0,0.570325374603271
Denmark,DNK,2010,322345594075.47,5547683.0,40000.0,0.534815609455109
Dominican Republic,DOM,2022,113478087134.8,11230734.0,48198.02,17.6953067779541
Dominican Republic,DOM,2021,94850719516.7127,11123476.0,48198.02,12.9000816345215
Dominican Republic,DOM,2020,78546672406.8291,11008300.0,48198.02,12.8589019775391
Dominican Republic,DOM,2019,89146130744.723,10894043.0,48198.02,14.3608598709106
Dominican Republic,DOM,2018,84994732049.3461,10782053.0,48310.0,12.7266597747803
Dominican Republic,DOM,2017,79070274743.1658,10666843.0,48310.0,11.7243194580078
Dominican Republic,DOM,2016,75552902635.7075,10551430.0,48310.0,18.1200008392334
Dominican Republic,DOM,2015,70966782572.4386,10434829.0,48310.0,11.742317199707
Algeria,DZA,2019,193459662090.677,43294546.0,2381741.0,11.4359302520752
Algeria,DZA,2011,218331946925.304,36903376.0,2381740.0,2.34999990463257
Ecuador,ECU,2022,116133121000.0,17823897.0,248360.0,12.1300001144409
Ecuador,ECU,2021,107179074000.0,17682454.0,248360.0,12.3999996185303
Ecuador,ECU,2020,95865473000.0,17546065.0,248360.0,11.9399995803833
Ecuador,ECU,2017,104467486000.0,16759519.0,248360.0,12.1599998474121
Ecuador,ECU,2016,97671433000.0,16505139.0,248360.0,11.7200002670288
Ecuador,ECU,2015,97209558000.0,16266225.0,248360.0,12.0799999237061
Ecuador,ECU,2014,102717794000.0,16035124.0,248360.0,10.4300003051758
Ecuador,ECU,2013,96570334000.0,15807128.0,248360.0,11.5200004577637
Ecuador,ECU,2012,87735048000.0,15572194.0,248360.0,10.9499998092651
Ecuador,ECU,2011,78986648000.0,15326227.0,248360.0,9.61999988555908
Ecuador,ECU,2010,68151329000.0,15076695.0,248360.0,10.2700004577637
Ecuador,ECU,2009,60094978000.0,14825954.0,248360.0,9.97000026702881
Ecuador,ECU,2008,61139438000.0,14575202.0,248360.0,9.77999973297119
Ecuador,ECU,2007,49848725000.0,14328773.0,248360.0,10.1700000762939
"Egypt, Arab Rep.",EGY,2021,424671765455.704,110957008.0,995450.0,0.0
"Egypt, Arab Rep.",EGY,2020,383817841547.099,109315124.0,995450.0,0.0
"Egypt, Arab Rep.",EGY,2017,248362771739.13,103696057.0,995450.0,6.17000007629395
