country,iso,year,gdp_pc,population,area,higher_ed_pct,gdp
Switzerland,CHE,2022,94394.5106803525,8777088.0,39509.63,40.0153961181641,828508926958.3938
Chile,CHL,2022,15405.6165774073,19553036.0,743532.0,20.2825660705566,301226575540.2417
China,CHN,2020,10627.4637989619,1411100000.0,9388210.0,7.67999982833862,14996414166715.139
Cote d'Ivoire,CIV,2022,2333.37128334477,30395002.0,318000.0,4.76513671875,70922824824.00685
Cameroon,CMR,2018,1610.69641591017,24806383.0,472710.0,6.42238998413086,39955552189.79497
"Congo, Dem. Rep.",COD,2018,528.256019777898,90047644.0,2267050.0,7.4141697883606,47568210009.81712
Colombia,COL,2022,6680.44506854481,51737944.0,1109500.0,16.20046043396,345632492851.4476
Comoros,COM,2022,1533.87755332151,834188.0,1861.0,14.056170463562,1279542248.4501638
Costa Rica,CRI,2020,12394.0493969354,5034320.0,51060.0,21.6100006103516,62395610759.97982
Cuba,CUB,2019,9232.26115935183,11202846.0,103800.0,15.3287696838379,103427600000.00002
Curacao,CUW,2020,16356.0933254541,154947.0,444.0,30.1700000762939,2534327592.4991364
Cyprus,CYP,2022,33894.44921875,1331370.0,9240.0,33.1645622253418,45126052856.36719
Czechia,CZE,2022,28282.2236715857,10672118.0,77171.73,20.9734058380127,301831228325.55585
Germany,DEU,2022,49686.1154582583,83797985.0,349360.0,29.2060985565186,4163596357879.397
Dominica,DMA,2021,8376.40414141113,67202.0,750.0,6.83760023117065,562911111.1111108
Denmark,DNK,2022,68091.3191138669,5903037.0,40000.0,32.7245712280273,401945576107.96356
Dominican Republic,DOM,2022,10104.2449349081,11230734.0,48198.02,17.6953067779541,113478087134.80019
Algeria,DZA,2019,4468.45341883656,43294546.0,2381741.0,11.4359302520752,193459662090.6767
Ecuador,ECU,2022,6515.58528418336,17823897.0,248360.0,12.1300001144409,116133120999.99994
"Egypt, Arab Rep.",EGY,2021,3827.35415374308,110957008.0,995450.0,0.0,424671765455.70416
Spain,ESP,2022,30270.2687017458,47786102.0,499713.681,24.706615447998,1446498147749.0325
Estonia,EST,2022,28451.1477825175,1348840.0,42730.0,32.6602210998535,38376046174.9709
Ethiopia,ETH,2021,910.947887074508,122138588.0,1128571.4,6.28919649124146,111261888668.86386
Finland,FIN,2022,50440.560224974,5556106.0,303947.7,28.7976665496826,280253099309.33936
Fiji,FJI,2021,4696.17103944634,916711.0,18270.0,10.0197696685791,4305031649.741894
France,FRA,2022,41082.8119320747,68065015.0,547557.0,22.5577774047852,2796302210398.8433
United Kingdom,GBR,2022,46062.9914079698,67604000.0,241930.0,35.85205078125,3114042471144.39
Georgia,GEO,2022,6729.84659930283,3712502.0,69490.0,34.0200004577637,24984568959.604958
Ghana,GHA,2022,2229.89122647803,33149152.0,227533.0,6.22969007492065,73919003209.98665
Guinea,GIN,2019,1031.34146480732,13034346.0,245720.0,22.7037582397461,13442861496.445435
"Gambia, The",GMB,2020,720.335143352133,2515733.0,10120.0,1.88328003883362,1812170891.1906915
Guinea-Bissau,GNB,2022,873.437861875428,2105529.0,28120.0,2.70413637161255,1839048747.876708
Greece,GRC,2022,20971.8349258283,10436882.0,128900.0,28.9304580688477,218880566444.34872
Grenada,GRD,2020,8968.55890108484,116341.0,340.0,6.11760234832764,1043411111.1111114
Guatemala,GTM,2022,5358.70127494396,17847877.0,107160.0,5.68784999847412,95641441234.94298
Guyana,GUY,2019,6405.82443444562,807665.0,196850.0,4.46917009353638,5173760191.846521
Honduras,HND,2019,2502.32744328073,9943633.0,111890.0,9.63000011444092,24882225741.811897
Croatia,HRV,2022,18466.0955472648,3855641.0,55960.0,19.0439777374268,71198635101.9516
Hungary,HUN,2022,18483.6366867035,9605074.0,91260.0,26.128345489502,177536698164.90192
Indonesia,IDN,2022,4730.83484836107,278830529.0,1892555.47,9.48062133789062,1319101183380.1519
India,IND,2022,2347.44829434623,1425423212.0,2973190.0,12.1400003433228,3346107287730.9243
Ireland,IRL,2022,105234.511567597,5212836.0,68890.0,37.2724380493164,548570250341.9861
"Iran, Islamic Rep.",IRN,2022,4405.09291519791,89524246.0,1622500.0,18.2504196166992,394362621793.03485
Iraq,IRQ,2021,4868.49431080783,43071211.0,434128.0,10.9389886856079,209691945713.1036
Iceland,ISL,2022,75121.0152280628,382003.0,100830.0,34.2301330566406,28696453180.165672
Israel,ISR,2021,52270.9040241956,9371400.0,21640.0,37.2001266479492,489851549972.3467
Italy,ITA,2022,35653.9042103495,59013667.0,295720.0,16.4901714324951,2104067630319.4634
Jamaica,JAM,2022,6022.15339791763,2839144.0,10830.0,10.9498100280762,17097760686.777452
Japan,JPN,2020,40028.7341726762,126261000.0,364500.0,25.5400009155273,5054068005376.27
Kazakhstan,KAZ,2019,9457.12614657136,19209555.0,2699700.0,37.6751594543457,181667184854.50058
Kenya,KEN,2022,2109.56288513137,54252461.0,569140.0,6.09258985519409,114448978152.63713
Kyrgyz Republic,KGZ,2018,1283.5203037417,6444079.0,191800.0,24.2648506164551,8271106235.41551
Cambodia,KHM,2021,2167.40324198499,16974305.0,176520.0,4.56162977218628,36790163687.442024
